
★kumikomi hennsuu
ARGC	コマンド行の引数の数
ARGV[ ]	コマンド行の引数の配列
FILENAME	現在の入力ファイル名
ENVIRON["..."]	環境変数の値
FS	入力のフィールド区切り文字(初めはスペースまたはタブ)
RS	入力のレコード区切り文字(初めは改行)
NF	現在レコードのフィールド数
NR	現在の通算レコード
FNR	現在の入力ファイルの通算レコード
OFS	表示のフィールド区切り文字(初めはスペース)
ORS	表示のレコード区切り文字(初めは改行)
OFMT	数の表示の書式(初めは「%.6g」)
RSTART	matchで適合した文字列の開始位置
RLENGTH	matchで適合した文字列の長さ
$0	現在の入力レコード


★kumikomi kannsuu
atan2(y,x)	atan(y/x)で-π～πの値．
sin(x)	sin関数
cos(x)	cos関数
exp(x)	exp関数
log(x)	自然対数
sqrt(x)	平方根
int(x)	小数点以下を切り捨て
rand()	疑似乱数 0以上1未満の一様分布
srand()	乱数の初期化(srand()を呼び出すと以後rand()は毎回異なる乱数系列を生成する)
gsub(r,s,t)	文字列tの中に現れる文字列rをすべて文字列sで置換し、置換した数を返す。tを省略すると$0/が使われる。
index(s,t)	文字列sの中の文字列tの位置。tが現れない場合は0。
length(s)	文字列sの長さ
toupper(s)	文字列sを大文字にした文字列
tolower(s)	文字列sを小文字にした文字列
match(s,r)	文字列sが文字列rに適合する位置。適合しないときは0。
split(s,a,fs)	fsをフィールド区切り文字として文字列sを配列aに分解し、フィールド数を返す。
sprintf(書式,式)	書式で整えた式の並び
sub(r,s,t)	はじめの1回だけ置換する他、gsub()と同様。
substr(s,i,n)	文字列sのi番目から始まるn文字
systime()	現在の時刻
strftime()	時刻情報からの書式変換
